Date_target,Lambda_t,NewEnergy_Sigma
2024-12-05,106.23035,0.0002852310316343068
2024-12-06,106.23035,2.5746728586991297e-05
2024-12-09,106.23035,0.00023600926483326035
2024-12-10,106.23035,0.0006169007041642045
2024-12-11,106.23035,0.0009544503216185283
2024-12-12,106.23035,0.00012769508257330612
2024-12-13,106.23035,0.00038734449708603826
2024-12-16,106.23035,0.0002328177862568762
2024-12-17,106.23035,0.0006253508884540306
2024-12-18,106.23035,0.0006222464133001265
2024-12-19,106.23035,0.00027524598959653343
2024-12-20,106.23035,0.0004957301762171216
2024-12-23,106.23035,0.0002677872863248056
2024-12-24,106.23035,0.00039641812011092256
2024-12-25,106.23035,0.0003560890157890431
2024-12-26,106.23035,0.00010177042505973231
2024-12-27,106.23035,0.00035838277046962937
2024-12-30,106.23035,8.88952118091983e-05
2024-12-31,106.16631,0.0002333770057968289
2025-01-02,106.99328,0.0003605851437757801
2025-01-03,107.26433,0.0002360992390485761
2025-01-06,107.64582,0.00011359222644738242
2025-01-07,107.86152,0.00017305850764896114
2025-01-08,108.549805,0.0002453577490182698
2025-01-09,109.01612,0.00024195477242734838
2025-01-10,109.01612,0.0004990498315940812
2025-01-13,109.01612,4.9900918373351995e-05
2025-01-14,109.01612,0.0002690877665715591
2025-01-15,109.01612,0.0001456071116898931
2025-01-16,109.01612,0.0003501724018155741
2025-01-17,109.01612,0.00030609068790177544
2025-01-20,109.01612,5.602884220219718e-05
2025-01-21,109.01612,1.3375193495811916e-05
2025-01-22,109.01612,0.000310228468922306
2025-01-23,109.01612,0.0003736566995009826
2025-01-24,109.01612,0.00019729447727581033
2025-01-27,109.01612,0.0004776881149110233
2025-02-05,109.01612,0.0002026706753989888
2025-02-06,109.01612,5.2669641029385315e-05
2025-02-07,109.01612,0.0001284455353571149
2025-02-10,109.01612,0.00021810875976668788
2025-02-11,109.01612,0.00018111454630546366
2025-02-12,109.01612,0.0001709703199939474
2025-02-13,109.01612,2.9751263905268658e-05
2025-02-14,109.01612,0.0003682632868517853
2025-02-17,109.01612,0.00037373815069302087
2025-02-18,109.01612,0.00022343411288828
2025-02-19,109.01612,9.913133362592568e-05
2025-02-20,109.01612,0.0002879097637586887
2025-02-21,109.01612,0.0005153990497800136
2025-02-24,109.01612,0.00045721522780867434
2025-02-25,109.01612,0.00012608149352829386
2025-02-26,109.01612,0.0001005335688199211
2025-02-27,109.01612,0.00019285523471228639
2025-02-28,109.01612,0.000269562061995962
2025-03-03,109.01612,5.431823175519273e-05
2025-03-04,109.01612,5.63489170705327e-06
2025-03-05,109.01612,3.667152247566419e-06
2025-03-06,109.01612,0.00037615638431708553
2025-03-07,109.01612,0.0007857175969336743
2025-03-10,109.01612,0.00018720961287821582
2025-03-11,109.01612,0.0005860508126100932
2025-03-12,109.01612,0.0001986752560299782
2025-03-13,109.01612,0.0005554385929824419
2025-03-14,109.01612,0.00016025296676493826
2025-03-17,109.01612,0.00010174881285313046
2025-03-18,109.01612,9.043466261550638e-06
2025-03-19,109.168976,0.00038115765300744014
2025-03-20,106.53519,0.0004876713714073991
2025-03-21,104.67566,6.558604708648377e-05
2025-03-24,104.1699,0.00024010894910566442
2025-03-25,104.394516,0.0005544743193389237
2025-03-26,104.74203,7.957456486826209e-05
2025-03-27,105.30426,0.0002666513400260015
2025-03-28,105.92609,2.282302479782999e-05
2025-03-31,106.31131,0.00015204025324460865
2025-04-01,106.4861,3.5851231560991674e-05
2025-04-02,106.55592,4.781342091106372e-06
2025-04-03,106.46545,0.000720833583441259
2025-04-07,105.993164,0.0010776730455988228
2025-04-08,101.414986,0.0007932568875615389
2025-04-09,94.04735,0.0005649087403790638
2025-04-10,87.318,0.0003816409359848926
2025-04-11,85.519485,0.00013933150659872656
2025-04-14,85.93963,4.313310700595417e-06
2025-04-15,85.002754,4.026234151307142e-05
2025-04-16,86.26346,0.00016583432167370675
2025-04-17,87.67599,0.00020052079811109022
2025-04-18,89.03868,1.1715856837610878e-05
