date,OVX_index
2017/3/3,25.59
2017/3/6,26.96
2017/3/7,26.46
2017/3/8,31.74
2017/3/9,31.98
2017/3/10,33.45
2017/3/13,32.39
2017/3/14,33.19
2017/3/15,30.08
2017/3/16,28.63
2017/3/17,27.45
2017/3/20,28.11
2017/3/21,30.57
2017/3/22,30.05
2017/3/23,29.79
2017/3/24,30.99
2017/3/27,30.78
2017/3/28,29.92
2017/3/29,28.54
2017/3/30,27.82
2017/3/31,27.59
2017/4/3,26.89
2017/4/4,27.97
2017/4/5,27.73
2017/4/6,26.79
2017/4/7,27.46
2017/4/10,26.71
2017/4/11,27.27
2017/4/12,26.92
2017/4/13,26.02
2017/4/14,
2017/4/17,25.8
2017/4/18,26.88
2017/4/19,29.81
2017/4/20,27.96
2017/4/21,30.06
2017/4/24,29.88
2017/4/25,29.39
2017/4/26,29.32
2017/4/27,29.88
2017/4/28,28.55
2017/5/1,29.42
2017/5/2,32.23
2017/5/3,32.8
2017/5/4,34.67
2017/5/5,33.83
2017/5/8,33.85
2017/5/9,34.21
2017/5/10,34.02
2017/5/11,33.72
2017/5/12,33.72
2017/5/15,33.1
2017/5/16,33.44
2017/5/17,33.9
2017/5/18,32.8
2017/5/19,29.76
2017/5/22,30.59
2017/5/23,31.77
2017/5/24,30.94
2017/5/25,33.03
2017/5/26,30.04
2017/5/29,
2017/5/30,30.3
2017/5/31,32.29
2017/6/1,31.19
2017/6/2,32.47
2017/6/5,33.71
2017/6/6,32.12
2017/6/7,34.23
2017/6/8,33.84
2017/6/9,32.59
2017/6/12,33.95
2017/6/13,32.34
2017/6/14,32.02
2017/6/15,31.9
2017/6/16,27.93
2017/6/19,30.34
2017/6/20,32.49
2017/6/21,33.32
2017/6/22,32.65
2017/6/23,31.92
2017/6/26,31.77
2017/6/27,32.28
2017/6/28,30.8
2017/6/29,30.46
2017/6/30,28.7
2017/7/3,30.26
2017/7/4,
2017/7/5,32.61
2017/7/6,32.82
2017/7/7,33.17
2017/7/10,33.23
2017/7/11,33.61
2017/7/12,32.48
2017/7/13,31.76
2017/7/14,30.28
2017/7/17,30.61
2017/7/18,29.96
2017/7/19,29.55
2017/7/20,29.25
2017/7/21,29.25
2017/7/24,29.24
2017/7/25,29.18
2017/7/26,29.44
2017/7/27,29.81
2017/7/28,29.86
2017/7/31,30.84
2017/8/1,30.54
2017/8/2,30.43
2017/8/3,29.65
2017/8/4,28.53
2017/8/7,28.73
2017/8/8,29.44
2017/8/9,29.06
2017/8/10,29.27
2017/8/11,28.41
2017/8/14,29.16
2017/8/15,29.31
2017/8/16,29.18
2017/8/17,29.31
2017/8/18,27.53
2017/8/21,28.77
2017/8/22,27.97
2017/8/23,27.8
2017/8/24,28.37
2017/8/25,28.88
2017/8/28,30.39
2017/8/29,30.49
2017/8/30,29.78
2017/8/31,29.1
2017/9/1,28.97
2017/9/4,
2017/9/5,29.58
2017/9/6,30.07
2017/9/7,29.73
2017/9/8,29.49
2017/9/11,27.73
2017/9/12,27.59
2017/9/13,26.62
2017/9/14,26.09
2017/9/15,26.65
2017/9/18,27.53
