Date_target,Oil_GRU_z_used,NewEnergy_MeanPred,NewEnergy_Sigma,CI_low,CI_high,ConfLevel,RiskLevel
2024-05-08,16.64982242257868,-0.13602862500423657,0.9942292667325744,-2.084717987800082,1.812660737791609,0.95,MEDIUM
2024-05-09,15.81622568768824,-0.11368381116488391,0.9692889143897101,-2.0134900833687155,1.786122461038948,0.95,LOW
2024-05-10,15.40314687684389,-0.17062597182080239,0.992323953942566,-2.115580921548232,1.7743289779066271,0.95,MEDIUM
2024-05-13,16.95677732633766,-0.1837457190752197,0.9817138021759655,-2.1079047713401122,1.7404133331896727,0.95,MEDIUM
2024-05-14,15.625563381316109,-0.09148877152892451,1.0110525253196077,-2.073151721155355,1.8901741780975063,0.95,HIGH
2024-05-15,16.82769987012822,-0.19614621246521471,1.0039800530946426,-2.1639471165307143,1.7716546916002847,0.95,HIGH
2024-05-16,15.855787589259249,-0.10651391850706102,0.9983845627358117,-2.063347661469252,1.85031982445513,0.95,MEDIUM
2024-05-17,15.4485388058989,-0.18354847727625473,0.9925292980215683,-2.1289059013985283,1.761808946846019,0.95,MEDIUM
2024-05-20,14.64013627197492,-0.19194345656934828,0.9781590377406955,-2.109135170541111,1.7252482574024148,0.95,LOW
2024-05-21,15.085407699469119,-0.24148796936186434,0.989663218707647,-2.181227878028852,1.6982519393051236,0.95,MEDIUM
2024-05-22,15.80549160434919,-0.20077674793798073,0.9793989139377982,-2.120398619256065,1.7188451233801036,0.95,LOW
2024-05-23,17.21721560774635,-0.16061461290561668,0.9876837523943229,-2.0964747675984894,1.7752455417872561,0.95,MEDIUM
2024-05-24,17.33572228305028,-0.08420705419827232,1.0062559717827089,-2.0564687588923816,1.888054650495837,0.95,HIGH
2024-05-28,16.13408638153033,-0.08117175282660208,0.9713079151366549,-1.9849352664944457,1.8225917608412416,0.95,LOW
2024-05-29,13.798717860099691,-0.16238510128915137,1.002127814664027,-2.126555618030644,1.8017854154523414,0.95,MEDIUM
2024-05-30,15.67298211151556,-0.31365252969008317,1.031477687237072,-2.335348796674744,1.7080437372945778,0.95,HIGH
2024-05-31,16.71307494132517,-0.18019743526282292,1.0128176514673972,-2.1653200321389217,1.8049251616132758,0.95,HIGH
2024-06-03,17.33928009877981,-0.13602062644501753,0.988836347389115,-2.0741398673276827,1.8020986144376478,0.95,MEDIUM
2024-06-04,20.70851095819326,-0.09927941069219212,0.9784933012976916,-2.0171262812356674,1.8185674598512833,0.95,LOW
2024-06-05,20.59625904242341,0.08264691352697123,1.0520031802292367,-1.9792793197223328,2.1445731467762754,0.95,HIGH
2024-06-06,18.94444894071255,0.057286922764818476,0.9608349464791454,-1.8259495723343064,1.9405234178639434,0.95,LOW
2024-06-07,17.274044989106322,-0.04895635967728312,1.0022830201392143,-2.013431079150143,1.915518359795577,0.95,MEDIUM
2024-06-10,17.89833638503432,-0.14301020086965074,1.001225582062488,-2.1054123417121273,1.8193919399728258,0.95,MEDIUM
2024-06-11,14.816277448108501,-0.08233666729659891,0.9731400538167785,-1.9896911727774846,1.825017838184287,0.95,LOW
2024-06-12,15.49219244540295,-0.3074858723673604,1.0380121131256799,-2.3419896140936927,1.727017869358972,0.95,HIGH
2024-06-13,15.30049260252652,-0.22156960057412806,0.9704300949175574,-2.1236125866125404,1.6804733854642844,0.95,LOW
2024-06-14,15.49446602556813,-0.2368980270953253,0.9614711931516958,-2.121381565672649,1.6475855114819984,0.95,LOW
2024-06-17,14.92911833478281,-0.2118593785015276,0.9631065764434252,-2.099548268330641,1.6758295113275856,0.95,LOW
2024-06-18,13.164941696338431,-0.24647681195135,0.9757698552124902,-2.158985728167831,1.6660321042651307,0.95,LOW
2024-06-19,12.645246688493861,-0.3603543300074221,1.0077102706958758,-2.3354664605713387,1.6147578005564944,0.95,HIGH
2024-08-02,13.037073133749821,-0.369034091380758,0.9742387394799298,-2.2785420207614204,1.5404738379999043,0.95,LOW
2024-08-05,19.44194553635433,-0.33550602944152486,0.9709069924656422,-2.2384837346741833,1.5674716757911338,0.95,LOW
2024-08-06,18.38825818232494,0.007367126422509779,1.1363321901663626,-2.2198439663035607,2.23457821914858,0.95,HIGH
2024-08-07,18.365653777352207,-0.1105704275269618,0.9752413833092072,-2.022043538813008,1.8009026837590842,0.95,LOW
2024-08-08,15.220875245019219,-0.07877746748598269,0.9521301966632909,-1.9449526529460328,1.7873977179740674,0.95,LOW
2024-08-09,15.14934097418724,-0.301438056591255,1.032134658857743,-2.324421987952431,1.7215458747699213,0.95,HIGH
2024-08-12,14.46819733057702,-0.2561057539568372,0.9525840057358874,-2.1231704051991764,1.610958897285502,0.95,LOW
2024-08-13,11.79652719634989,-0.2998396455749365,0.9701832391990062,-2.2013987944049886,1.6017195032551155,0.95,LOW
2024-08-14,13.50630625604097,-0.47571401526417423,1.0206690038756925,-2.4762252628605315,1.5247972323321828,0.95,HIGH
2024-08-15,14.74778157470559,-0.34134476421057314,0.9911825459357849,-2.2840625542447115,1.6013730258235652,0.95,MEDIUM
2024-08-16,13.47702905481127,-0.28204254303483944,0.9796003000802729,-2.2020591311921742,1.6379740451224953,0.95,LOW
2024-08-19,14.80922702187392,-0.37055091213532,0.9821664224582792,-2.295597100153547,1.5544952758829074,0.95,MEDIUM
2024-08-20,17.12113943475977,-0.270632616893465,0.9826886849043496,-2.1967024393059904,1.6554372055190603,0.95,MEDIUM
2024-08-21,17.2192005745889,-0.1490259933615249,1.006593507033298,-2.121949267146789,1.8238972804237394,0.95,HIGH
2024-08-22,18.32156842043199,-0.14867072529131165,0.9526881575760674,-2.0159395141404035,1.7185980635577804,0.95,LOW
2024-08-23,16.80885672638885,-0.07610905796301676,0.9793685726088732,-1.9956714602764083,1.8434533443503747,0.95,LOW
2024-08-26,14.48484044635901,-0.1851638878620178,0.9903108414412154,-2.1261731370868,1.7558453613627643,0.95,MEDIUM
2024-08-27,12.35627757603738,-0.32406242224541315,1.009479225527544,-2.3026417042793996,1.654516859788573,0.95,HIGH
2024-08-28,14.501048721059739,-0.4429628291410274,1.0019912360196908,-2.406865651739621,1.5209399934575665,0.95,MEDIUM
2024-08-29,15.51439454370136,-0.2935859466099027,0.998791074728117,-2.2512164530770122,1.6640445598572067,0.95,MEDIUM
2024-08-30,13.718957554110059,-0.2479308343725955,0.9713515891090482,-2.15177994902633,1.655918280281139,0.95,LOW
2024-09-02,16.917612091625532,-0.37159442235564255,0.9918038821768118,-2.3155300314221936,1.5723411867109087,0.95,MEDIUM
2024-10-01,16.53339910421793,-0.16449109450623672,1.022622193112981,-2.168830593007679,1.8398484039952059,0.95,HIGH
2024-10-02,17.19551737639583,-0.20997124182916627,0.9550230875005326,-2.08181649333021,1.6618740096718776,0.95,LOW
2024-10-03,16.85454660112043,-0.15169367918765,0.9635316932228251,-2.0402157979043873,1.7368284395290872,0.95,LOW
2024-10-04,14.089704517920708,-0.17156973120653535,0.9591625782520533,-2.0515283845805596,1.708388922167489,0.95,LOW
2024-10-07,13.763541318002781,-0.356372687332846,1.0182772480105908,-2.352196093433604,1.639450718767912,0.95,HIGH
2024-10-08,10.62324391967519,-0.3358157892957824,0.9586554219388113,-2.214780416295852,1.5431488377042877,0.95,LOW
2024-10-09,15.63257954751435,-0.5543180070264668,1.026657810590053,-2.5665673157829705,1.4579313017300368,0.95,HIGH
2024-10-10,15.9808451676974,-0.23345528944580363,1.0636812250402092,-2.3182704905246134,1.8513599116330064,0.95,HIGH
2024-10-11,12.668526032835082,-0.24898715785775527,0.949327421259108,-2.109668903525607,1.6116945878100961,0.95,LOW
2024-10-14,13.691572606447869,-0.47020746376932027,1.0186713282573638,-2.4668032671537534,1.5263883396151128,0.95,HIGH
2024-10-16,15.80653897111236,-0.3612325076968339,0.9630996564675814,-2.2489078343732936,1.5264428189796257,0.95,LOW
2024-10-17,18.6797604705702,-0.2471264130169583,0.98871774439074,-2.1850131920228084,1.690760365988892,0.95,MEDIUM
2024-10-18,17.99475740020925,-0.09250338896723703,1.0047143479396612,-2.061743510928973,1.8767367329944988,0.95,HIGH
