test_index,strategy_nav,buy_hold_nav,strategy_return,buy_hold_return,signal
111,1.345123806994821,0.8462897993613543,0.007775347157143686,-0.007775347157143686,-1.0
112,1.3393492991155727,0.849922853128693,-0.004292919245960946,0.004292919245960946,-1.0
113,1.331883411160148,0.8546605483635384,-0.0055742650258260055,0.0055742650258260055,-1.0
114,1.337354254974096,0.8581711517203046,0.00410759963530327,0.00410759963530327,1.0
115,1.3462742409227362,0.8638950461831234,0.006669875177398532,0.006669875177398532,1.0
116,1.3555626713123832,0.8698553689439102,0.0068993598089500474,0.0068993598089500474,1.0
117,1.3678303761648891,0.8777274719136979,0.009049898696774392,0.009049898696774392,1.0
118,1.3793542767598101,0.8851222807379651,0.00842494858699632,0.00842494858699632,1.0
119,1.3873368516994775,0.8902446449164831,0.0057871825057294185,0.0057871825057294185,1.0
120,1.395122826673231,0.8952408522307679,0.005612173398418475,0.005612173398418475,1.0
121,1.4014187606368491,0.8992809103384963,0.004512816967256767,0.004512816967256767,1.0
122,1.406204155873863,0.9023516659940833,0.0034146790177400016,0.0034146790177400016,1.0
123,1.4081651306685914,0.9036100102150163,0.0013945164267488296,0.0013945164267488296,1.0
124,1.410660538255936,0.9052112963329453,0.00177209869282862,0.00177209869282862,1.0
125,1.4137211542751966,0.9071752728668019,0.0021696332577961614,0.0021696332577961614,1.0
126,1.4085471170574784,0.9038551282890595,-0.0036598711153692075,-0.0036598711153692075,1.0
127,1.4014955750409719,0.8993302016204509,-0.0050062521381872,-0.0050062521381872,1.0
128,1.405704307184009,0.8966294867597183,0.0030030292053644545,-0.0030030292053644545,-1.0
129,1.4103916991558636,0.8936396304745192,0.00333455047971265,-0.00333455047971265,-1.0
130,1.4122019523014826,0.8924926342513534,0.0012835109187770005,-0.0012835109187770005,-1.0
131,1.4164252676121534,0.8898235557950095,0.0029905887778925457,-0.0029905887778925457,-1.0
132,1.421075801279139,0.8869020077977209,0.003283289117558171,-0.003283289117558171,-1.0
133,1.4153362550506332,0.8904840933341346,-0.004038874086336129,0.004038874086336129,-1.0
134,1.4072531577227883,0.8955697184423957,-0.005711079115652207,0.005711079115652207,-1.0
