sample_index,raw_returns,training_returns,scaled_returns
3136,-0.0033314444043754943,-0.002347537523578974,-0.35738740832164223
3137,-0.0033425799032837933,-0.0019461535213141864,-0.3005455987394819
3138,-0.0033537903360694177,-0.0014017837903456884,-0.22345493140991912
3139,-0.003365076095759534,-0.0021251099095097406,-0.3258884247712289
3140,-0.003376438066786891,-0.0023207236599711058,-0.35359017544549237
3141,-0.003387876901492559,-0.003141356136255127,-0.46980366350349717
3142,-0.0033993937513046024,-0.003429841255852307,-0.5106573501051175
3143,-0.002496703261538502,-0.0034409555281283925,-0.5122312926259874
3144,-0.0025029525143213105,-0.003120156919761953,-0.46680154627810494
3145,-0.002509232881686474,-0.0021191605614738727,-0.32504591060453397
3146,-0.002515544969840411,-0.0017821511706969137,-0.2773204818135114
3147,-0.0025218888947639018,-0.0002542912594805223,-0.06095330810565843
3148,-0.0025282650225658676,-0.0003184758998265337,-0.07004278622153172
3149,-0.0025346732235880243,0.0011725035935691336,0.14110158419758131
3150,0.010236037329324876,0.007643431278985572,1.0574790113968981
3151,0.01013232237400552,0.008605194426824487,1.1936786541433342
3152,0.010030688330207704,0.007480961647025079,1.0344709497136382
3153,0.009931072833827104,0.008447238319924803,1.1713097732211488
3154,0.00983341645876945,0.007372508708022645,1.0191124369861297
3155,0.009737661854084534,0.008356296209807199,1.1584310484161313
3156,0.009643754354345502,0.00778569419848439,1.0776255088535145
3157,0.0032729398012858457,0.0033095661549483856,0.44374070905973323
3158,0.003262262612140354,0.0020512186749071203,0.265540413469697
3159,0.003251654860062736,0.002116056666675944,0.27472241564471606
3160,0.003241115869892397,0.0016874817269000514,0.2140299740402385
3161,0.0032306449751933197,0.0020749399840896705,0.26889969568320327
3162,0.003220241518113953,0.0021645381559321987,0.28158809929183276
3163,0.003209904849249101,0.0027895892140054447,0.37010441539226685
3164,0.005321840818192092,0.00410071847807491,0.5557793788818933
3165,0.005293668642062155,0.005354408090601861,0.7333200527211531
3166,0.005265793390383688,0.0059060091220935005,0.8114347773251676
3167,0.005238209946003325,0.005534245524509873,0.7587876476334189
3168,0.005210914195911576,0.005171527174645322,0.7074214565081555
3169,0.005183901219565579,0.00415471132482723,0.5634255508682635
3170,0.005157167086129011,0.0028920727398172824,0.3846175724354865
3171,-0.0011646390878042867,0.0013299223457703244,0.16339436788301212
3172,-0.0011659969432521455,-0.0006586061814675848,-0.11821017852685105
3173,-0.0011673581896298746,-0.0016907416599921,-0.26437556629081
3174,-0.0011687223968656069,-0.0015509381193419846,-0.24457735263080627
3175,-0.0011700900178306384,-0.0014999136874994053,-0.23735155134707572
3176,-0.0011714606215259549,-0.0007508947939662655,-0.13127958764294023
3177,-0.0011728346619617191,0.00021988855914693785,0.006197447295760722
3178,0.0012059472398089355,0.0018417715976315756,0.23587966262546492
3179,0.0012044946827709513,0.002765412493743877,0.36668064034972636
3180,0.001203045620717491,0.0022854519101555065,0.29871124459569415
3181,0.0012015999303767178,0.00219462202067346,0.2858484118640069
3182,0.0012001579313636324,0.0007510875648638059,0.08142294846875552
3183,0.0011987192789135737,0.0007180076818205576,0.0767383561523332
3184,0.0011972840714149502,-0.001529021311342347,-0.24147361401657438
3185,-0.012587918713514723,-0.010125269057085334,-1.4588272572299328
3186,-0.012748394578338873,-0.011314208702888934,-1.6271983945202195
3187,-0.012913014673038292,-0.009304673155419552,-1.3426189486695506
3188,-0.013081941981801126,-0.010966744109691786,-1.5779923570807255
3189,-0.013255347670981465,-0.009025602903120107,-1.3030985441398604
3190,-0.013433412337912398,-0.011107813777743981,-1.5979698727863756
3191,-0.013616325941266383,-0.009176424160801274,-1.3244570266944276
3192,0.008455127430849085,0.0030619696296594495,0.4086774418037703
3193,0.00838423763324947,0.005324492320705309,0.7290835448225603
3194,0.008314526665874844,0.004183711248968706,0.5675323616944195
3195,0.008245965366945551,0.006519240939933346,0.8982773171939582
3196,0.008178525528683256,0.006074792447699696,0.8353369498099148
3197,0.00811217985861612,0.007903132319259895,1.094256453936384
3198,0.008046901942752038,0.007335154022393966,1.0138224704814205
3199,0.0006353551146083269,0.0030192159511895915,0.40262289942836843
3200,0.0006349515808359296,0.0014319089263316914,0.17783715025474353
3201,0.000634548787046052,0.00030921088552920343,0.01884678717729125
3202,0.0006341462764021255,-0.000647058749687654,-0.11657489432345917
3203,0.0006337445035060618,-0.0017788706907761389,-0.27685591816886523
3204,0.0006333430121043815,-0.001371172094013308,-0.21911987021143065
3205,0.0006329422562263431,-0.0006330156887677783,-0.11458619275524952
3206,-0.0041196314713897175,-0.003102730075013487,-0.4643336517301884
3207,-0.004136673153834147,-0.0034908456550106675,-0.5192964598381109
3208,-0.004153856185197591,-0.0026497023881937483,-0.4001783456782381
3209,-0.004171182678164853,-0.003006862416248849,-0.45075739763475925
3210,-0.004188654320511298,-0.0026784469037528383,-0.4042489869362905
3211,-0.004206273059771948,-0.003925868213710435,-0.5809019780103174
3212,-0.004224040411235919,-0.005892740110850236,-0.8594396307789739
3213,-0.008400414192190953,-0.0069718000257435,-1.012250200866525
3214,-0.008471578964353133,-0.007347155090930105,-1.0654059345795028
3215,-0.008543959794419909,-0.007726012583138921,-1.1190576628731035
3216,-0.008617588000922716,-0.008325251197090648,-1.203918561654146
3217,-0.008692496474163036,-0.008570338209526775,-1.2386264454097238
3218,-0.008768718529059805,-0.008747470161556636,-1.2637109047588428
3219,-0.008846289148630837,-0.008316189237988242,-1.20263525651285
3220,-0.005926504285181933,-0.006949932589054171,-1.0091534539475364
3221,-0.005961837013582438,-0.006197661978587688,-0.9026209998558985
3222,-0.005997593815331714,-0.005677675607254033,-0.8289833707080188
3223,-0.0060337819888712785,-0.005085728694049377,-0.745155082751166
3224,-0.00607040951647686,-0.004635286089100759,-0.6813658618711295
3225,-0.006107484320191592,-0.004417279227938335,-0.6504929211961691
3226,-0.006145015031142953,-0.003842169194641614,-0.5690489801895796
3227,-0.0023695366074899527,-0.0026122859175806406,-0.39487962952157446
3228,-0.002375164776961869,-0.0022575279688352608,-0.344640746913991
3229,-0.0023808194856526077,-0.0022718834642157194,-0.34667369374363394
3230,-0.0023865013144848124,-0.00222607379218855,-0.34018637825597825
3231,-0.002392210327575972,-0.0020164321444036313,-0.3104980733991754
3232,-0.0023979468516234226,-0.0018225351613778017,-0.2830394419501848
3233,-0.0024037106909692296,-0.0014812632477318331,-0.2347103779572291
3234,-0.000658848333113693,-0.0006282955925408811,-0.11391775851416142
3235,-0.0006592827004219259,-0.0009613019350604369,-0.16107629748019936
3236,-0.0006597176408498218,-0.0013414756572392497,-0.21491442307139708
3237,-0.0006601531555320284,-0.001002330506511653,-0.1668865396241292
3238,-0.0006605892456070794,-0.0013084586947740126,-0.21023874122348854
3239,-0.0006610259122157292,-0.0010229666292321704,-0.16980891458570013
3240,-0.0006614631565021734,-0.00122539293139481,-0.19847542161394757
3241,-0.0027799841143766324,-0.002413627529269409,-0.3667467138683077
3242,-0.00278773397052956,-0.0027042149510442997,-0.40789811701915596
3243,-0.0027955271565496265,-0.002938539557833129,-0.4410818876835348
3244,-0.0028033640368441137,-0.003123198498511977,-0.46723227804410083
3245,-0.0028112449799198025,-0.003300931618180065,-0.4924018714698801
3246,-0.002819170358437262,-0.0031821007669247106,-0.47557369550514156
3247,-0.0028271405492731327,-0.003557846939117622,-0.5287848156556788
3248,-0.005477444174429524,-0.005406447747918354,-0.7905735630257356
