sample_index,raw_feature_0,scaled_feature_0
47,-0.001656858767021152,-0.2221985525911499
48,-0.0016596087042183294,-0.2225237430290532
49,-0.0016623673832997232,-0.22284996722771266
50,-0.0004306384646302064,-0.0771933802876854
51,-0.00043082399401350724,-0.07721531983650909
52,-0.0004310096833268773,-0.07723727829766622
53,-0.00043119573400141054,-0.07725927949114283
54,-0.0004313815426576495,-0.07728125206504402
55,-0.00043156771300356667,-0.07730326741011283
56,-0.0004317540441088896,-0.07732530176558726
57,-0.013735709937512608,-1.6505682279177314
58,-0.013927007269666447,-1.6731898584323082
59,-0.01412370825723952,-1.6964504915662404
60,-0.014326045349502103,-1.7203776153218244
61,-0.01453426365957533,-1.7450002152494501
62,-0.014748624050135994,-1.770349139343823
63,-0.01496940213447251,-1.7964569799150667
64,0.002803619313113348,0.30526979164078105
65,0.0027957807850937932,0.3043428561595589
66,0.0027879864086550743,0.3034211417691751
67,0.002780234929686598,0.30250450016632535
68,0.0027725268747809118,0.301592993622563
69,0.002764861002803709,0.30068647536907855
70,0.002757237843347138,0.2997850080321396
71,0.009842519685039353,1.1376462897854323
72,0.009746588693956948,1.1263020885321804
73,0.009652509652509744,1.1151768873031707
74,0.00956022944550683,1.1042644050268897
75,0.009469696969696795,1.0935585985512537
76,0.009380863039399667,1.0830536514842282
77,0.009293680297397744,1.0727439636563334
78,0.0007892660118682393,0.06706492180004797
79,0.0007886435623090104,0.06699131479369666
80,0.0007880220937577231,0.06691782379523178
81,0.0007874013997561935,0.066844424390195
82,0.0007867820905778089,0.06677118874571442
83,0.000786163551175667,0.06669804413017577
84,0.0007855459835555134,0.06662501443151983
85,0.0072678644688644045,0.8331836067622364
86,0.0072154235449541915,0.8269822698633722
87,0.007163734369347585,0.8208698300347008
88,0.007112780300646104,0.8148443193681312
89,0.007062545962849276,0.8089039195936565
90,0.007013016017138662,0.8030468168381852
91,0.006964176333331462,0.7972713401543455
92,0.011342259682416644,1.3149961968992336
93,0.011215055417866271,1.299953813191431
94,0.011090673095950354,1.2852451348358738
95,0.010969019101558786,1.2708590914929623
96,0.010850005372650129,1.2567852694943966
97,0.010733546153967932,1.243013527957895
98,0.010619560791334859,1.2295343292230074
99,0.003613716720487936,0.4010668632680379
100,0.0036007047933706016,0.3995281538452937
101,0.0035877862342794664,0.39800048554354567
102,0.003574960219333345,0.3964837609357385
103,0.0035622252283693534,0.3949778002568817
104,0.0035495808220149527,0.39348255154951656
105,0.0035370258628451,0.391997880308845
106,0.004999375153105889,0.5649261953829411
107,0.004974505558638986,0.561985272105322
108,0.004949882514662773,0.5590735043524602
109,0.004925501686741773,0.5561903795610239
110,0.0049013602011958035,0.5533355579075011
111,0.004877453871360071,0.5505085443030007
112,0.004853779954242521,0.5477090143783739
113,0.000579640067624565,0.04227586382648388
114,0.0005793044486166465,0.04223617561387099
115,0.0005789688804049842,0.04219649340810683
116,0.0005786340381694899,0.042156897051760706
117,0.0005782992457734615,0.04211730658911926
118,0.0005779651776176564,0.04207780177061384
119,0.0005776311583496341,0.042038302733272984
120,0.0007216221586126004,0.05906578120722082
121,0.0007211019638353466,0.059004266214229786
122,0.0007205821823514924,0.05894280009474092
123,0.0007200633175545867,0.05888144237693866
124,0.0007195451994512769,0.05882017295846835
125,0.0007190279942037581,0.05875901148863581
126,0.0007185111967658031,0.05869789824382121
127,7.179946389679337e-05,-0.017778201583014692
128,7.179447662419847e-05,-0.01777879134679575
129,7.178915503902594e-05,-0.017779420644299115
130,7.178416922237751e-05,-0.017780010235909013
131,7.177884914133514e-05,-0.017780639355543318
132,7.177386477996706e-05,-0.017781228775060835
133,7.176854620194462e-05,-0.017781857716957367
134,0.0013874269926323901,0.1377997122058111
135,0.0013855048732209774,0.13757241434106665
136,0.0013835877384504869,0.13734570592889808
137,0.001381676068383797,0.13711964373855
138,0.0013797696736459475,0.13689420537571972
139,0.0013778686987251376,0.1366694079266813
140,0.001375972622823296,0.13644518980509998
141,-0.0027718550580431156,-0.3540510663540614
142,-0.0027795594280654035,-0.35496213714647384
143,-0.002787307080037049,-0.3558783261925247
144,-0.002795097876136743,-0.3567996171943247
145,-0.0028029323463849565,-0.3577260728287922
146,-0.002810810690893284,-0.3586577167598775
147,-0.002818733786122185,-0.3595946526323332
148,0.0020052668696093345,0.21086160625723574
149,0.0020012538216231945,0.210387048207954
150,0.0019972568038117977,0.20991438578725236
151,0.00199327555220985,0.2094435877802399
152,0.0019893104763792913,0.20897470261915962
153,0.001985360976988204,0.20850765943075347
154,0.001981427128887825,0.20804246706646226
155,-0.0008338892595064484,-0.12487930660820386
