"TradingDate","Symbol","FundClassID","NAV","AccumulativeNAV","AnnualizedYield","Frequency","MarketStatus"
"2021-11-30","000042","202000000031","2.0276","2.5164","","",""
"2021-12-01","000042","202000000031","2.0420","2.5308","","",""
"2021-12-02","000042","202000000031","2.0562","2.5450","","",""
"2021-12-03","000042","202000000031","2.0755","2.5643","","",""
"2021-12-06","000042","202000000031","2.0737","2.5625","","",""
"2021-12-07","000042","202000000031","2.0894","2.5782","","",""
"2021-12-08","000042","202000000031","2.1165","2.6053","","",""
"2021-12-09","000042","202000000031","2.1364","2.6252","","",""
"2021-12-10","000042","202000000031","2.1224","2.6112","","",""
"2021-12-13","000042","202000000031","2.1361","2.6249","","",""
"2021-12-14","000042","202000000031","2.1190","2.6078","","",""
"2021-12-15","000042","202000000031","2.1122","2.6010","","",""
"2021-12-16","000042","202000000031","2.1319","2.6207","","",""
"2021-12-17","000042","202000000031","2.1051","2.5939","","",""
"2021-12-20","000042","202000000031","2.0787","2.5675","","",""
"2021-12-21","000042","202000000031","2.0960","2.5848","","",""
"2021-12-22","000042","202000000031","2.0963","2.5851","","",""
"2021-12-23","000042","202000000031","2.1139","2.6027","","",""
"2021-12-24","000042","202000000031","2.0999","2.5887","","",""
"2021-12-27","000042","202000000031","2.0999","2.5887","","",""
"2021-12-28","000042","202000000031","2.1070","2.5958","","",""
"2021-12-29","000042","202000000031","2.0830","2.5718","","",""
"2021-12-30","000042","202000000031","2.0993","2.5881","","",""
"2021-12-31","000042","202000000031","2.1107","2.5995","","",""
"2022-01-04","000042","202000000031","2.1055","2.5943","","",""
"2022-01-05","000042","202000000031","2.0863","2.5751","","",""
"2022-01-06","000042","202000000031","2.0790","2.5678","","",""
"2022-01-07","000042","202000000031","2.0832","2.5720","","",""
"2022-01-10","000042","202000000031","2.0901","2.5789","","",""
"2022-01-11","000042","202000000031","2.0706","2.5594","","",""
"2022-01-12","000042","202000000031","2.0785","2.5673","","",""
"2022-01-13","000042","202000000031","2.0469","2.5357","","",""
"2022-01-14","000042","202000000031","2.0277","2.5165","","",""
"2022-01-17","000042","202000000031","2.0410","2.5298","","",""
"2022-01-18","000042","202000000031","2.0709","2.5597","","",""
"2022-01-19","000042","202000000031","2.0574","2.5462","","",""
"2022-01-20","000042","202000000031","2.0736","2.5624","","",""
"2022-01-21","000042","202000000031","2.0512","2.5400","","",""
"2022-01-24","000042","202000000031","2.0563","2.5451","","",""
"2022-01-25","000042","202000000031","2.0071","2.4959","","",""
"2022-01-26","000042","202000000031","2.0172","2.5060","","",""
"2022-01-27","000042","202000000031","1.9776","2.4664","","",""
"2022-01-28","000042","202000000031","1.9536","2.4424","","",""
"2022-02-07","000042","202000000031","1.9917","2.4805","","",""
"2022-02-08","000042","202000000031","1.9952","2.4840","","",""
"2022-02-09","000042","202000000031","2.0097","2.4985","","",""
"2022-02-10","000042","202000000031","2.0065","2.4953","","",""
"2022-02-11","000042","202000000031","1.9900","2.4788","","",""
"2022-02-14","000042","202000000031","1.9642","2.4530","","",""
"2022-02-15","000042","202000000031","1.9839","2.4727","","",""
"2022-02-16","000042","202000000031","1.9964","2.4852","","",""
"2022-02-17","000042","202000000031","1.9989","2.4877","","",""
"2022-02-18","000042","202000000031","2.0126","2.5014","","",""
"2022-02-21","000042","202000000031","2.0068","2.4956","","",""
"2022-02-22","000042","202000000031","1.9809","2.4697","","",""
"2022-02-23","000042","202000000031","2.0011","2.4899","","",""
"2022-02-24","000042","202000000031","1.9572","2.4460","","",""
"2022-02-25","000042","202000000031","1.9767","2.4655","","",""
"2022-02-28","000042","202000000031","1.9795","2.4683","","",""
"2022-03-01","000042","202000000031","1.9926","2.4814","","",""
"2022-03-02","000042","202000000031","1.9799","2.4687","","",""
"2022-03-03","000042","202000000031","1.9747","2.4635","","",""
"2022-03-04","000042","202000000031","1.9524","2.4412","","",""
"2022-03-07","000042","202000000031","1.9001","2.3889","","",""
"2022-03-08","000042","202000000031","1.8539","2.3427","","",""
"2022-03-09","000042","202000000031","1.8294","2.3182","","",""
"2022-03-10","000042","202000000031","1.8592","2.3480","","",""
"2022-03-11","000042","202000000031","1.8669","2.3557","","",""
"2022-03-14","000042","202000000031","1.8202","2.3090","","",""
"2022-03-15","000042","202000000031","1.7309","2.2197","","",""
"2022-03-16","000042","202000000031","1.7934","2.2822","","",""
"2022-03-17","000042","202000000031","1.8252","2.3140","","",""
"2022-03-18","000042","202000000031","1.8364","2.3252","","",""
"2022-03-21","000042","202000000031","1.8374","2.3262","","",""
"2022-03-22","000042","202000000031","1.8422","2.3310","","",""
"2022-03-23","000042","202000000031","1.8463","2.3351","","",""
"2022-03-24","000042","202000000031","1.8359","2.3247","","",""
"2022-03-25","000042","202000000031","1.8051","2.2939","","",""
"2022-03-28","000042","202000000031","1.7984","2.2872","","",""
"2022-03-29","000042","202000000031","1.7961","2.2849","","",""
"2022-03-30","000042","202000000031","1.8424","2.3312","","",""
"2022-03-31","000042","202000000031","1.8288","2.3176","","",""
"2022-04-01","000042","202000000031","1.8509","2.3397","","",""
"2021-04-02","003184","202000006581","1.0000","1.0000","","",""
"2021-04-06","003184","202000006581","1.0000","1.0000","","",""
"2021-04-07","003184","202000006581","1.0000","1.0000","","",""
"2021-04-08","003184","202000006581","1.0000","1.0000","","",""
"2021-04-09","003184","202000006581","1.0000","1.0000","","",""
"2021-04-12","003184","202000006581","1.0000","1.0000","","",""
"2021-04-13","003184","202000006581","1.0000","1.0000","","",""
"2021-04-14","003184","202000006581","1.0000","1.0000","","",""
"2021-04-15","003184","202000006581","1.0000","1.0000","","",""
"2021-04-16","003184","202000006581","1.0000","1.0000","","",""
"2021-04-19","003184","202000006581","1.0000","1.0000","","",""
"2021-04-20","003184","202000006581","1.0000","1.0000","","",""
"2021-04-21","003184","202000006581","1.0000","1.0000","","",""
"2021-04-22","003184","202000006581","1.0000","1.0000","","",""
"2021-04-23","003184","202000006581","1.0000","1.0000","","",""
"2021-04-26","003184","202000006581","1.0000","1.0000","","",""
"2021-04-27","003184","202000006581","1.0000","1.0000","","",""
"2021-04-28","003184","202000006581","1.0000","1.0000","","",""
"2021-04-29","003184","202000006581","1.0000","1.0000","","",""
"2021-04-30","003184","202000006581","1.0000","1.0000","","",""
"2021-05-06","003184","202000006581","1.0000","1.0000","","",""
"2021-05-07","003184","202000006581","1.0000","1.0000","","",""
"2021-05-10","003184","202000006581","1.0000","1.0000","","",""
"2021-05-11","003184","202000006581","1.0000","1.0000","","",""
"2021-05-12","003184","202000006581","1.0000","1.0000","","",""
"2021-05-13","003184","202000006581","1.0000","1.0000","","",""
"2021-05-14","003184","202000006581","1.0000","1.0000","","",""
"2021-05-17","003184","202000006581","1.0000","1.0000","","",""
"2021-05-18","003184","202000006581","1.0000","1.0000","","",""
"2021-05-19","003184","202000006581","1.0000","1.0000","","",""
"2021-05-20","003184","202000006581","1.0000","1.0000","","",""
"2021-05-21","003184","202000006581","1.0000","1.0000","","",""
"2021-05-24","003184","202000006581","1.0000","1.0000","","",""
"2021-05-25","003184","202000006581","1.0000","1.0000","","",""
"2021-05-26","003184","202000006581","1.0000","1.0000","","",""
"2021-05-27","003184","202000006581","1.0000","1.0000","","",""
"2021-05-28","003184","202000006581","1.0000","1.0000","","",""
"2021-05-31","003184","202000006581","1.0000","1.0000","","",""
"2021-06-01","003184","202000006581","1.0000","1.0000","","",""
"2021-06-02","003184","202000006581","1.0000","1.0000","","",""
"2021-06-03","003184","202000006581","1.0000","1.0000","","",""
"2021-06-04","003184","202000006581","1.0000","1.0000","","",""
"2021-06-07","003184","202000006581","1.0000","1.0000","","",""
"2021-06-08","003184","202000006581","1.0000","1.0000","","",""
"2021-06-09","003184","202000006581","1.0000","1.0000","","",""
"2021-06-10","003184","202000006581","1.0000","1.0000","","",""
"2021-06-11","003184","202000006581","1.0000","1.0000","","",""
"2021-06-15","003184","202000006581","1.0000","1.0000","","",""
"2021-06-16","003184","202000006581","1.0000","1.0000","","",""
"2021-06-17","003184","202000006581","1.0000","1.0000","","",""
"2021-06-18","003184","202000006581","1.0000","1.0000","","",""
