test_index,strategy_nav,buy_hold_nav,strategy_return,buy_hold_return,signal
43,1.0104311821649892,1.0013517482053653,0.003870696335830211,-0.003870696335830211,-1.0
44,1.0047072556696939,1.0070242412002688,-0.005664835563596752,0.005664835563596752,-1.0
45,1.01641536631247,1.0187593522680907,0.011653255788395765,0.011653255788395765,1.0
46,1.0232161916060754,1.0255758611488428,0.006690990237857886,0.006690990237857886,1.0
47,1.0208464152338967,1.0232006197643095,-0.0023160074983361663,-0.0023160074983361663,1.0
48,1.0174187353335178,1.0197650351885261,-0.003357684220886085,-0.003357684220886085,1.0
49,1.0203250019762786,1.0226780040599424,0.0028565098536426823,0.0028565098536426823,1.0
50,1.0285596970313424,1.0309316893922076,0.008070658897031846,0.008070658897031846,1.0
51,1.0344084623354266,1.036793942709347,0.0056863644579551245,0.0056863644579551245,1.0
52,1.0329594661500798,1.0353416049504462,-0.0014007969173756116,-0.0014007969173756116,1.0
53,1.0394410268490646,1.0288450969299703,0.00627474834336134,-0.00627474834336134,-1.0
54,1.044992441174578,1.023350273017598,0.005340768915329034,-0.005340768915329034,-1.0
55,1.0482529679625003,1.0201572729085724,0.003120143897172537,-0.003120143897172537,-1.0
56,1.049296619743284,1.0191415934999848,0.0009956106137358513,-0.0009956106137358513,-1.0
57,1.0509878691188006,1.0174989477970073,0.0016117934087412499,-0.0016117934087412499,-1.0
58,1.0574000464612594,1.011291089561203,0.006101095484417953,-0.006101095484417953,-1.0
59,1.0671407156422288,1.001975171728549,0.009211905383934734,-0.009211905383934734,-1.0
60,1.0751898855759339,0.9944175288531735,0.0075427446593686375,-0.0075427446593686375,-1.0
61,1.0804570029665848,0.98954609736925,0.004898778775090066,-0.004898778775090066,-1.0
62,1.0838669222606365,0.9864230926402248,0.0031559972166308246,-0.0031559972166308246,-1.0
63,1.0874829417368603,0.9831321673047192,0.0033362208975635755,-0.0033362208975635755,-1.0
64,1.091153785011469,0.9798135643493129,0.0033755410165291775,-0.0033755410165291775,-1.0
65,1.0909937770946598,0.9799572452212914,-0.00014664103172914395,0.00014664103172914395,-1.0
66,1.0876498541848794,0.9829608384146707,-0.0030650247324832706,0.0030650247324832706,-1.0
67,1.0847411762574888,0.9855895488247217,-0.0026742778626770544,0.0026742778626770544,-1.0
68,1.0815380056065302,0.9884999311221644,-0.002952935429269863,0.002952935429269863,-1.0
69,1.0760266286056386,0.9935371981969486,-0.00509586992997144,0.00509586992997144,-1.0
70,1.0671921115210117,1.0016944511109007,-0.008210314549626964,0.008210314549626964,-1.0
71,1.0569550217580235,1.0113032515324991,-0.009592546320828607,0.009592546320828607,-1.0
72,1.0488849710704589,1.019024742355062,-0.007635188367941893,0.007635188367941893,-1.0
73,1.0422765852167164,1.025444997080535,-0.006300391402308099,0.006300391402308099,-1.0
74,1.032328164150962,1.0352327623967896,-0.009544895478665903,0.009544895478665903,-1.0
75,1.01989225836232,1.0477036583284824,-0.01204646566905398,0.01204646566905398,-1.0
76,1.0119297941697427,1.0558832506290146,-0.007807162106870965,0.007807162106870965,-1.0
